Sample ID	../MWA/H_ERR1398076/kraken/ERR1398076_kraken.out	../MWA/H_ERR1398077/kraken/ERR1398077_kraken.out	../MWA/H_ERR1398085/kraken/ERR1398085_kraken.out	../MWA/H_ERR1398168/kraken/ERR1398168_kraken.out	../MWA/H_ERR1398068/kraken/ERR1398068_kraken.out	../MWA/H_ERR1398221/kraken/ERR1398221_kraken.out	../MWA/NH_ERR1398129/kraken/ERR1398129_kraken.out	../MWA/NH_ERR1398206/kraken/ERR1398206_kraken.out	../MWA/NH_ERR1398263/kraken/ERR1398263_kraken.out	../MWA/NH_ERR1398078/kraken/ERR1398078_kraken.out	../MWA/NH_ERR1398257/kraken/ERR1398257_kraken.out	../MWA/NH_ERR1398089/kraken/ERR1398089_kraken.out
d__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales	0	1	0	1	1	0	0	0	0	0	0	0
d__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	6	4	1	11	11	10	3	7	6	2	0	2
d__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	3	0	0	8	8	4	1	0	1	0	0	0
d__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales	1	0	0	0	0	1	0	1	0	0	0	0
d__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales	3	1	1	5	5	1	1	3	3	1	1	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	36	125	13	24	24	11	5	18	6	144	11	9
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2368	2595	913	2362	2362	151	37	2702	85	3172	485	2536
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	91	66	11	66	66	100	15	122	49	78	20	37
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	93	53	9	80	80	97	15	62	61	62	12	37
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales	18	6	3	11	11	12	3	12	9	6	0	6
